Tiempo,Direccion de viento media vectorial,Direccion de viento media escalar,Direccion de rafaga
2026-04-18 21:30:00,84.5000,83.3000,92.6000
2026-04-18 21:40:00,84.3000,86.8000,93.5000
2026-04-18 21:50:00,85.2000,83.7000,80.7000
2026-04-18 22:00:00,82.7000,85.3000,79.4000
2026-04-18 22:10:00,85.9000,86.2000,92.1000
2026-04-18 22:20:00,89.6000,88.1000,85.1000
2026-04-18 22:30:00,80.4000,75.4000,89.8000
2026-04-18 22:40:00,92.0000,89.5000,89.2000
2026-04-18 22:50:00,90.2000,93.5000,92.4000
2026-04-18 23:00:00,91.6000,96.7000,96.8000
2026-04-18 23:10:00,92.9000,91.8000,94.5000
2026-04-18 23:20:00,90.0000,85.3000,97.9000
2026-04-18 23:30:00,87.1000,83.7000,94.6000
2026-04-18 23:40:00,89.5000,90.1000,97.4000
2026-04-18 23:50:00,81.8000,78.4000,84.4000
2026-04-19 00:00:00,87.4000,87.3000,103.2000
2026-04-19 00:10:00,78.7000,78.8000,88.7000
2026-04-19 00:20:00,89.8000,87.1000,76.3000
2026-04-19 00:30:00,87.1000,97.0000,84.8000
2026-04-19 00:40:00,88.6000,85.4000,93.2000
2026-04-19 00:50:00,90.4000,78.5000,94.4000
2026-04-19 01:00:00,90.9000,88.0000,99.3000
2026-04-19 01:10:00,92.9000,93.2000,94.8000
2026-04-19 01:20:00,94.7000,95.6000,102.6000
2026-04-19 01:30:00,93.1000,97.5000,95.0000
2026-04-19 01:40:00,97.9000,97.8000,95.5000
2026-04-19 01:50:00,92.0000,91.2000,95.2000
2026-04-19 02:00:00,95.3000,93.3000,102.0000
2026-04-19 02:10:00,97.3000,94.6000,95.0000
2026-04-19 02:20:00,98.0000,99.3000,97.3000
2026-04-19 02:30:00,88.8000,94.8000,95.4000
2026-04-19 02:40:00,93.7000,94.5000,97.0000
2026-04-19 02:50:00,73.6000,78.4000,94.9000
2026-04-19 03:00:00,85.7000,81.3000,86.6000
2026-04-19 03:10:00,59.8000,57.1000,54.4000
2026-04-19 03:20:00,42.6000,37.4000,52.9000
2026-04-19 03:30:00,20.1000,20.2000,44.2000
2026-04-19 03:40:00,21.4000,25.2000,21.7000
2026-04-19 03:50:00,15.5000,16.5000,25.2000
2026-04-19 04:00:00,10.8000,12.7000,14.3000
2026-04-19 04:10:00,21.4000,26.0000,26.8000
2026-04-19 04:20:00,36.3000,43.2000,28.8000
2026-04-19 04:30:00,20.0000,19.4000,51.0000
2026-04-19 04:40:00,14.6000,21.6000,28.9000
2026-04-19 04:50:00,14.7000,26.2000,28.0000
2026-04-19 05:00:00,14.9000,25.0000,21.5000
2026-04-19 05:10:00,15.2000,4.2000,23.3000
2026-04-19 05:20:00,19.5000,359.3000,30.0000
2026-04-19 05:30:00,15.7000,16.1000,15.4000
2026-04-19 05:40:00,20.3000,22.9000,18.3000
2026-04-19 05:50:00,21.6000,18.7000,345.1000
2026-04-19 06:00:00,11.5000,15.7000,21.0000
2026-04-19 06:10:00,22.4000,15.5000,15.5000
2026-04-19 06:20:00,16.6000,24.7000,18.6000
2026-04-19 06:30:00,16.8000,15.9000,0.7000
2026-04-19 06:40:00,17.1000,21.9000,20.7000
2026-04-19 06:50:00,17.6000,2.0000,21.3000
2026-04-19 07:00:00,14.0000,8.0000,17.7000
2026-04-19 07:10:00,12.1000,24.1000,355.2000
2026-04-19 07:20:00,15.5000,20.9000,0.5000
2026-04-19 07:30:00,356.7000,359.9000,353.5000
2026-04-19 07:40:00,359.0000,348.4000,353.4000
2026-04-19 07:50:00,6.3000,14.1000,355.6000
2026-04-19 08:00:00,1.6000,6.3000,343.9000
2026-04-19 08:10:00,356.8000,9.0000,348.7000
2026-04-19 08:20:00,357.8000,5.9000,4.5000
2026-04-19 08:30:00,4.7000,4.5000,358.6000
2026-04-19 08:40:00,15.0000,16.1000,20.5000
2026-04-19 08:50:00,6.1000,8.3000,15.3000
2026-04-19 09:00:00,12.6000,17.7000,3.2000
2026-04-19 09:10:00,10.1000,6.9000,18.8000
2026-04-19 09:20:00,12.8000,6.2000,20.4000
2026-04-19 09:30:00,7.2000,359.1000,9.9000
2026-04-19 09:40:00,9.9000,2.4000,17.4000
2026-04-19 09:50:00,11.0000,1.3000,1.5000
2026-04-19 10:00:00,7.5000,3.5000,14.9000
2026-04-19 10:10:00,9.7000,14.5000,16.0000
2026-04-19 10:20:00,13.0000,11.9000,344.4000
2026-04-19 10:30:00,8.1000,10.1000,16.0000
2026-04-19 10:40:00,14.4000,357.3000,19.9000
2026-04-19 10:50:00,15.2000,17.7000,16.4000
2026-04-19 11:00:00,12.3000,19.7000,15.6000
2026-04-19 11:10:00,17.7000,23.7000,32.7000
2026-04-19 11:20:00,17.6000,20.8000,20.6000
2026-04-19 11:30:00,29.3000,25.9000,32.3000
2026-04-19 11:40:00,27.9000,33.7000,34.2000
2026-04-19 11:50:00,24.4000,28.4000,32.1000
2026-04-19 12:00:00,17.0000,20.6000,38.3000
2026-04-19 12:10:00,20.9000,23.9000,21.0000
2026-04-19 12:20:00,19.7000,21.3000,19.0000
2026-04-19 12:30:00,16.6000,19.5000,18.6000
2026-04-19 12:40:00,16.2000,20.4000,0.3000
2026-04-19 12:50:00,10.0000,358.8000,355.4000
2026-04-19 13:00:00,8.4000,11.1000,30.5000
2026-04-19 13:10:00,2.5000,4.6000,15.2000
2026-04-19 13:20:00,3.1000,15.9000,18.2000
2026-04-19 13:30:00,12.9000,7.1000,357.3000
2026-04-19 13:40:00,6.3000,356.6000,15.6000
2026-04-19 13:50:00,358.3000,2.5000,4.1000
2026-04-19 14:00:00,8.5000,356.4000,346.0000
2026-04-19 14:10:00,4.5000,11.5000,351.5000
2026-04-19 14:20:00,0.1000,342.0000,8.6000
